JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2460191.78154,11.120,0.053,,I,PEX,,ENSEMBLE,95,X28117QT,|CMAGINS=-7.630|CREFMAG=9.634|ENSTYPE=1|KMAGINS=-8.107|KMAGSTD=9.157|KREFERR=0.054|KREFMAG=8.923|OBSERVAT=BSM_TX|VMAGINS=-6.145,0,1.112,Z,,9.157,,IY CEP,AAVSO,STD,0,,,
2460192.91422,14.170,0.080,,B,PEX,,ENSEMBLE,95,X28117QT,|CDEC=55.77184|CMAGINS=-8.546|CRA=332.07159|CREFMAG=10.323|ENSTYPE=1|KDEC=55.90604|KMAGINS=-9.061|KMAGSTD=9.807|KRA=331.98615|KREFERR=0.057|KREFMAG=9.765|OBSERVAT=BSM_TX|VMAGINS=-4.698,0,1.454,Z,,9.807,,IY CEP,AAVSO,STD,0,,,
2460192.91422,13.967,0.072,,B,PEX,,ENSEMBLE,95,X28117QT,|CMAGINS=-8.539|CREFMAG=10.323|ENSTYPE=1|KMAGINS=-9.063|KMAGSTD=9.798|KREFERR=0.057|KREFMAG=9.765|OBSERVAT=BSM_TX|VMAGINS=-4.895,0,1.454,Z,,9.798,,IY CEP,AAVSO,STD,0,,,
2460192.91544,12.651,0.049,,V,PEX,,ENSEMBLE,95,X28117QT,|CDEC=55.77184|CMAGINS=-8.947|CRA=332.07159|CREFMAG=10.015|ENSTYPE=1|KDEC=55.90604|KMAGINS=-9.444|KMAGSTD=9.518|KRA=331.98615|KREFERR=0.037|KREFMAG=9.502|OBSERVAT=BSM_TX|VMAGINS=-6.311,0,1.461,Z,,9.518,,IY CEP,AAVSO,STD,0,,,
2460192.91544,12.665,0.050,,V,PEX,,ENSEMBLE,95,X28117QT,|CMAGINS=-8.939|CREFMAG=10.015|ENSTYPE=1|KMAGINS=-9.441|KMAGSTD=9.513|KREFERR=0.037|KREFMAG=9.502|OBSERVAT=BSM_TX|VMAGINS=-6.290,0,1.461,Z,,9.513,,IY CEP,AAVSO,STD,0,,,
2460192.91654,11.919,0.045,,R,PEX,,ENSEMBLE,95,X28117QT,|CDEC=55.74823|CMAGINS=-7.690|CRA=332.29737|CREFMAG=11.042|ENSTYPE=1|KDEC=55.90604|KMAGINS=-9.338|KMAGSTD=9.394|KRA=331.98615|KREFMAG=0.000|OBSERVAT=BSM_TX|VMAGINS=-6.813,0,1.467,Z,,9.394,,IY CEP,AAVSO,STD,0,,,
2460192.91654,11.898,0.045,,R,PEX,,ENSEMBLE,95,X28117QT,|CMAGINS=-7.687|CREFMAG=11.042|ENSTYPE=1|KMAGINS=-9.334|KMAGSTD=9.396|KREFMAG=0.000|OBSERVAT=BSM_TX|VMAGINS=-6.831,0,1.467,Z,,9.396,,IY CEP,AAVSO,STD,0,,,
2460192.91766,11.113,0.056,,I,PEX,,ENSEMBLE,95,X28117QT,|CMAGINS=-7.583|CREFMAG=9.634|ENSTYPE=1|KMAGINS=-8.055|KMAGSTD=9.162|KREFERR=0.054|KREFMAG=8.923|OBSERVAT=BSM_TX|VMAGINS=-6.104,0,1.474,Z,,9.162,,IY CEP,AAVSO,STD,0,,,
2460192.91766,11.140,0.056,,I,PEX,,ENSEMBLE,95,X28117QT,|CDEC=55.77184|CMAGINS=-7.586|CRA=332.07159|CREFMAG=9.634|ENSTYPE=1|KDEC=55.90604|KMAGINS=-8.052|KMAGSTD=9.168|KRA=331.98615|KREFERR=0.054|KREFMAG=8.923|OBSERVAT=BSM_TX|VMAGINS=-6.080,0,1.474,Z,,9.168,,IY CEP,AAVSO,STD,0,,,
2460192.91904,13.945,0.071,,B,PEX,,ENSEMBLE,95,X28117QT,|CMAGINS=-8.573|CREFMAG=10.323|ENSTYPE=1|KMAGINS=-9.106|KMAGSTD=9.789|KREFERR=0.057|KREFMAG=9.765|OBSERVAT=BSM_TX|VMAGINS=-4.950,0,1.481,Z,,9.789,,IY CEP,AAVSO,STD,0,,,
